"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/07/2026";"0800";"22,4";"22,9";"22,2";"100,0";"100,0";"100,0";"22,4";"22,9";"22,2";"1000,0";"1000,0";"999,7";"0,0";"";"0,0";"";"0,0"
"02/07/2026";"0900";"22,1";"22,4";"22,1";"100,0";"100,0";"100,0";"22,1";"22,4";"22,1";"1000,5";"1000,5";"1000,0";"0,0";"";"0,0";"";"0,0"
"02/07/2026";"1000";"22,7";"22,7";"22,0";"100,0";"100,0";"100,0";"22,7";"22,7";"22,0";"1001,2";"1001,2";"1000,5";"0,0";"";"0,0";"116,80";"0,0"
"02/07/2026";"1100";"24,5";"24,5";"22,7";"94,0";"100,0";"94,0";"23,5";"23,7";"22,7";"1002,0";"1002,0";"1001,2";"0,9";"";"1,9";"810,10";"0,0"
"02/07/2026";"1200";"27,2";"27,3";"24,5";"87,0";"95,0";"86,0";"24,8";"25,2";"23,5";"1002,3";"1002,3";"1002,0";"2,6";"";"4,5";"1504,60";"0,0"
"02/07/2026";"1300";"28,9";"29,4";"27,2";"75,0";"88,0";"74,0";"24,1";"25,3";"24,1";"1002,6";"1002,6";"1002,2";"2,4";"";"5,4";"2267,90";"0,0"
"02/07/2026";"1400";"30,6";"30,7";"28,8";"66,0";"78,0";"66,0";"23,7";"25,5";"23,7";"1002,5";"1002,7";"1002,5";"2,0";"";"5,9";"2679,70";"0,0"
"02/07/2026";"1500";"31,9";"31,9";"30,4";"61,0";"68,0";"58,0";"23,4";"24,0";"22,0";"1002,0";"1002,5";"1002,0";"2,2";"";"7,2";"3034,80";"0,0"
"02/07/2026";"1600";"32,1";"32,4";"31,6";"60,0";"63,0";"55,0";"23,2";"24,0";"22,1";"1001,2";"1002,0";"1001,2";"2,4";"";"7,9";"3328,20";"0,0"
"02/07/2026";"1700";"32,5";"32,6";"32,0";"55,0";"62,0";"53,0";"22,4";"23,7";"21,6";"1000,4";"1001,2";"1000,4";"2,7";"";"8,2";"3109,20";"0,0"
